Location,Price,İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Krediye Uygun,Isıtma Tipi,Bina Yaşı,"Görüntülü Ev Gezintisi
?",Mobilya Durumu,Kullanım Durumu,Yapının Durumu,Depozito,Aidat,Kimden,Konut Şekli,Hayvan Dostu Patili Evler,Tapu Durumu,m²,Bölüm/Oda Sayısı,Kapalı Alan,Yapı Tipi,Dış Cephe,Zemin Etüdlü,Ada,Parsel,Otopark,Devren,Tavan Yüksekliği,Arsa Alanı,Takasa Uygun,Kat Yüksekliği,Yıldız Sayısı,Kapasite,Kiralama Süresi,İmar Durumu,Parselli
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fevzi Çakmak, Esenler
, İstanbul",30.000 TL,21 Haziran 2024,5085994,130,135m²,3+1,2,5,5,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soğanlı, Bahçelievler
, İstanbul",11.000 TL,21 Haziran 2024,5074431,70,75m²,2+1,1,5,5,Hayır,Kombi (Doğalgaz),31-35 arası,?,Eşyasız,Boş,İkinci El,13.000 TL undefined,0 TL (aylık),Danışman,,,,,,,,,,,,,,,,,,,,,,
"Göztepe, Kadıköy
, İstanbul",50.000 TL,20 Haziran 2024,5085833,70,95m²,2+1,1,10-20 arası,4,Hayır,Kombi (Doğalgaz),0,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,Evet,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pınar, Sarıyer
, İstanbul",165.000 TL,19 Haziran 2024,5042340,160,200m²,3+1,3,5,3,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,,İkinci El,0 TL undefined,3.200 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Teşvikiye, Şişli
, İstanbul",50.000 TL,18 Haziran 2024,5085590,110,120m²,3+1,1,2,4,Hayır,Klima,26-30 arası,,Eşyalı (Mobilyalı),Boş,,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hobyar, Fatih
, İstanbul",45.000 TL,17 Haziran 2024,5085560,,,,,5,3,Hayır,Yok,31-35 arası,,,,,0 TL,0 TL (aylık),,,,,90m²,1,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",35.000 TL,14 Haziran 2024,4723979,70,85m²,2+1,1,5,2,Hayır,Kombi (Doğalgaz),6-10 arası,?,Eşyalı (Mobilyalı),Boş,İkinci El,30.000 TL,100 TL (aylık),Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Yukarı, Kartal
, İstanbul",12.000 TL,28 Mayıs 2024,4978559,85,100m²,3+1,2,4,4,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyasız,,İkinci El,10.000 TL,150 TL (aylık),Danışman,En Üst Kat,,,,,,,,,,,,,,,,,,,,,
"Esentepe, Kartal
, İstanbul",22.000 TL,27 Mayıs 2024,4893401,149,170m²,3+1,1,3,3,Hayır,Kombi (Doğalgaz),,,Eşyalı (Mobilyalı),Boş,İkinci El,,200 TL (aylık),Danışman,En Üst Kat,,,,,,,,,,,,,,,,,,,,,
"Ferahevler, Sarıyer
, İstanbul",55.000 TL,20 Haziran 2024,5085996,130,150m²,3+1,1,5,1,Hayır,,21-25 arası,,Eşyasız,Kiracılı,,100.000 TL undefined,1.000 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"İçmeler, Tuzla
, İstanbul",60.000 TL,20 Haziran 2024,5085985,48,,,,,Zemin Kat,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,,,Boş,,0 TL,0 TL (aylık),Danışman,,,Kat Mülkiyeti,60m²,1,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siyavuşpaşa, Bahçelievler
, İstanbul",9.000 TL,18 Haziran 2024,5073344,50,,,,,,Hayır,Kombi (Elektrikli),31-35 arası,,,Boş,,10.000 TL,0 TL (aylık),Danışman,,,,55m²,1,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",25.000 TL,14 Haziran 2024,5085060,45,60m²,1+1,1,10-20 arası,Zemin Kat,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,?,Eşyalı (Mobilyalı),Boş,,37.500 TL,3.000 TL (aylık),Danışman,,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Balat, Fatih
, İstanbul",22.000 TL,16 Haziran 2024,5085471,,,,,,,Hayır,,,,,,,,,,,,,25m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"İstinye, Sarıyer
, İstanbul",400.000 TL,16 Haziran 2024,5042274,350,500m²,4+1,4,,,Hayır,Klima,,,,Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",35.000 TL,14 Haziran 2024,4716350,75,85m²,2+1,1,10-20 arası,4,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,?,Eşyalı (Mobilyalı),Boş,İkinci El,36.000 TL,0 TL (aylık),Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Bahçelievler
, İstanbul",14.500 TL,11 Haziran 2024,5054022,120,130m²,3+1,1,6,5,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyasız,Boş,İkinci El,15.000 TL undefined,30 TL (aylık),Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",27.500 TL,14 Haziran 2024,5085054,45,55m²,1+1,1,4,3,Hayır,Yerden Isıtma,0,?,Eşyalı (Mobilyalı),Boş,,42.000 TL undefined,350 TL (aylık),Danışman,Çatı Dubleksi,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",21.000 TL,12 Haziran 2024,5084006,35,50m²,1+0 (Stüdyo),1,10-20 arası,Zemin Kat,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,?,,Boş,,31.500 TL undefined,3.000 TL (aylık),Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Barbaros, Bağcılar
, İstanbul",17.000 TL,6 Haziran 2024,5081320,100,,,,,,Hayır,Yok,21-25 arası,,,,,0 TL,0 TL (aylık),,,,,120m²,1,,,,,,,,,,,,,,,,,
"Süleymaniye, Fatih
, İstanbul",290.000 TL,6 Haziran 2024,5081421,,,,,4,,Hayır,Kombi (Doğalgaz),,,,Boş,İkinci El,0 TL undefined,,,,,Kat Mülkiyeti,190m²,,214 (m²),,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",30.000 TL,1 Haziran 2024,5079665,70,80m²,1+1,1,10-20 arası,9,Hayır,Merkezi Sistem (Isı Payı Ölçer),5,?,Eşyalı (Mobilyalı),Boş,İkinci El,46.000 TL undefined,,Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Çeliktepe, Kağıthane
, İstanbul",40.000 TL,1 Haziran 2024,5079615,85,95m²,2+1,1,10-20 arası,11,Hayır,Merkezi Sistem (Isı Payı Ölçer),5,,Eşyalı (Mobilyalı),Boş,İkinci El,80.000 TL,,Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
